index,parent,subba,time,start,end,start_act,end_act,start_match,end_match,n_obs,na,type,update,success,comments
1,CISO,PGAE,2025-03-24 18:11:13.863987+00:00,2019-01-01,2024-12-31 23:00:00,2019-01-01,2024-12-31 23:00:00,True,True,52608,435,backfill,True,True,Missing values were found; 
1,CISO,SCE,2025-03-24 18:12:17.239870+00:00,2019-01-01,2024-12-31 23:00:00,2019-01-01,2024-12-31 23:00:00,True,True,52608,444,backfill,True,True,Missing values were found; 
1,CISO,SDGE,2025-03-24 18:13:10.493020+00:00,2019-01-01,2024-12-31 23:00:00,2019-01-01,2024-12-31 23:00:00,True,True,52608,430,backfill,True,True,Missing values were found; 
1,CISO,VEA,2025-03-24 18:14:00.654492+00:00,2019-01-01,2024-12-31 23:00:00,2019-01-01,2024-12-31 23:00:00,True,True,52608,430,backfill,True,True,Missing values were found; 
2,CISO,PGAE,2025-03-24 20:25:24.446983+00:00,2025-01-01,2025-03-24 07:00:00,2025-01-01,2025-03-24 07:00:00,True,True,1976,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
2,CISO,SCE,2025-03-24 20:25:29.988736+00:00,2025-01-01,2025-03-24 07:00:00,2025-01-01,2025-03-24 07:00:00,True,True,1976,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
2,CISO,SDGE,2025-03-24 20:25:35.124738+00:00,2025-01-01,2025-03-24 07:00:00,2025-01-01,2025-03-24 07:00:00,True,True,1976,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
2,CISO,VEA,2025-03-24 20:25:40.835400+00:00,2025-01-01,2025-03-24 07:00:00,2025-01-01,2025-03-24 07:00:00,True,True,1976,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
3,CISO,PGAE,2025-03-24 20:53:13.557666+00:00,2025-01-01,2025-03-24 07:00:00,2025-01-01,2025-03-24 07:00:00,True,True,1976,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
3,CISO,SCE,2025-03-24 20:53:15.822304+00:00,2025-01-01,2025-03-24 07:00:00,2025-01-01,2025-03-24 07:00:00,True,True,1976,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
3,CISO,SDGE,2025-03-24 20:53:18.338820+00:00,2025-01-01,2025-03-24 07:00:00,2025-01-01,2025-03-24 07:00:00,True,True,1976,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
3,CISO,VEA,2025-03-24 20:53:20.502980+00:00,2025-01-01,2025-03-24 07:00:00,2025-01-01,2025-03-24 07:00:00,True,True,1976,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
4,CISO,PGAE,2025-03-25 20:53:05.725218+00:00,2025-01-01,2025-03-25 07:00:00,2025-01-01,2025-03-25 07:00:00,True,True,2000,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
4,CISO,SCE,2025-03-25 20:53:08.053530+00:00,2025-01-01,2025-03-25 07:00:00,2025-01-01,2025-03-25 07:00:00,True,True,2000,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
4,CISO,SDGE,2025-03-25 20:53:10.222796+00:00,2025-01-01,2025-03-25 07:00:00,2025-01-01,2025-03-25 07:00:00,True,True,2000,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
4,CISO,VEA,2025-03-25 20:53:12.150035+00:00,2025-01-01,2025-03-25 07:00:00,2025-01-01,2025-03-25 07:00:00,True,True,2000,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
5,CISO,PGAE,2025-03-26 20:53:20.709208+00:00,2025-01-01,2025-03-26 07:00:00,2025-01-01,2025-03-26 07:00:00,True,True,2024,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
5,CISO,SCE,2025-03-26 20:53:22.525797+00:00,2025-01-01,2025-03-26 07:00:00,2025-01-01,2025-03-26 07:00:00,True,True,2024,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
5,CISO,SDGE,2025-03-26 20:53:24.822546+00:00,2025-01-01,2025-03-26 07:00:00,2025-01-01,2025-03-26 07:00:00,True,True,2024,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
5,CISO,VEA,2025-03-26 20:53:26.629321+00:00,2025-01-01,2025-03-26 07:00:00,2025-01-01,2025-03-26 07:00:00,True,True,2024,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
6,CISO,PGAE,2025-03-27 20:53:00.809706+00:00,2025-01-01,2025-03-27 07:00:00,2025-01-01,2025-03-27 07:00:00,True,True,2048,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
6,CISO,SCE,2025-03-27 20:53:02.826095+00:00,2025-01-01,2025-03-27 07:00:00,2025-01-01,2025-03-27 07:00:00,True,True,2048,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
6,CISO,SDGE,2025-03-27 20:53:05.013388+00:00,2025-01-01,2025-03-27 07:00:00,2025-01-01,2025-03-27 07:00:00,True,True,2048,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
6,CISO,VEA,2025-03-27 20:53:06.936680+00:00,2025-01-01,2025-03-27 07:00:00,2025-01-01,2025-03-27 07:00:00,True,True,2048,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
7,CISO,PGAE,2025-03-28 20:52:54.334105+00:00,2025-01-01,2025-03-28 07:00:00,2025-01-01,2025-03-28 07:00:00,True,True,2072,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
7,CISO,SCE,2025-03-28 20:52:56.846160+00:00,2025-01-01,2025-03-28 07:00:00,2025-01-01,2025-03-28 07:00:00,True,True,2072,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
7,CISO,SDGE,2025-03-28 20:52:59.538568+00:00,2025-01-01,2025-03-28 07:00:00,2025-01-01,2025-03-28 07:00:00,True,True,2072,24,refresh,True,False,"Missing values were found; The data refresh done anyway, please check the log; "
